img_path,tp,fp,fn,precision,recall,f1,avg_iou
C:\Users\T2510600\Downloads\BAOCR\d1\4a0a74fb-39ff-4eff-a3be-c3646ec0e9d3.jpg,14,1,1,0.9333333332711111,0.9333333332711111,0.9333333327711111,0.6579676169090408
C:\Users\T2510600\Downloads\BAOCR\d1\4f5f8c94-d031-49d0-a481-106e492277d2.jpg,20,4,4,0.8333333332986111,0.8333333332986111,0.8333333327986111,0.6299256864698692
C:\Users\T2510600\Downloads\BAOCR\d1\5f94abc9-b0eb-455f-8f7b-a33c9913a049.jpg,18,7,9,0.7199999999712,0.6666666666419753,0.6923076917818047,0.6113668407702552
C:\Users\T2510600\Downloads\BAOCR\d1\22e941ed-a255-48a6-97fe-6457a023e137.jpg,12,2,2,0.8571428570816326,0.8571428570816326,0.8571428565816326,0.6806866307394199
C:\Users\T2510600\Downloads\BAOCR\d1\069fb245-4099-46c5-bc52-a263ccd209ee.jpg,26,3,3,0.8965517241070154,0.8965517241070154,0.8965517236070154,0.6376517426929833
C:\Users\T2510600\Downloads\BAOCR\d1\8018e8b8-2f0c-4d29-9e40-f0b10d84451e.jpg,12,2,4,0.8571428570816326,0.749999999953125,0.7999999994488889,0.6384529884473572
C:\Users\T2510600\Downloads\BAOCR\d1\156478b2-6eb3-4982-92c3-bee5730da2e9.jpg,34,5,2,0.8717948717725181,0.94444444441821,0.9066666661432888,0.6881841111781793
C:\Users\T2510600\Downloads\BAOCR\d1\20965061-8d7f-4195-994e-9b4bd5d2d778.jpg,63,12,10,0.8399999999887999,0.8630136986183148,0.8513513508399378,0.6650569249057482
C:\Users\T2510600\Downloads\BAOCR\d1\75975500-56eb-4f3b-92b0-930abeb3565d.jpg,0,2,16,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d1\af7b7455-8a29-4d84-875c-63a27d3cd7dd.jpg,3,9,40,0.24999999997916666,0.06976744185884262,0.1090909087457851,0.6813629325744929
C:\Users\T2510600\Downloads\BAOCR\d1\e260b5f6-2054-4353-acb0-93df90a77f13.jpg,34,6,3,0.8499999999787501,0.9189189188940834,0.883116882594704,0.6599824266156317
C:\Users\T2510600\Downloads\BAOCR\d1\f5160769-3e1c-446f-ac23-84acad4b9bbc.jpg,29,6,4,0.8285714285477552,0.878787878761249,0.8529411759459343,0.6456599420242584
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-8.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-13.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-19.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-21.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-23.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-24.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-26.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-32.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-44.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d3\IMG_20221226_0002.jpg,7,16,115,0.304347826073724,0.057377049179857566,0.09655172386967895,0.6434532675639465
C:\Users\T2510600\Downloads\BAOCR\d3\IMG_20221226_0010a.jpg,3,4,89,0.4285714285102041,0.032608695651819466,0.060606060473421076,0.6078552732887204
C:\Users\T2510600\Downloads\BAOCR\d3\IMG_20221226_0016.jpg,5,1,179,0.8333333331944445,0.02717391304333058,0.052631578885650974,0.6269060412369934
C:\Users\T2510600\Downloads\BAOCR\d3\IMG_20221226_0018.jpg,2,2,160,0.499999999875,0.012345679012269472,0.02409638549484686,0.6137829256748477
C:\Users\T2510600\Downloads\BAOCR\d4\fae11124-2958-46ed-ae7f-638e92d2fd97.jpg,25,9,5,0.7352941176254326,0.8333333333055556,0.781249999477539,0.6328465133514514
C:\Users\T2510600\Downloads\BAOCR\d4\f5cf6ad3-6868-4857-aedd-1a4529969146.jpg,0,6,23,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d4\e53e2535-bbbd-4851-a154-a27b95f07762.jpg,0,0,25,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d4\d78c9e5b-2b8c-4abf-8c83-0e2c089e8ff9.jpg,0,8,30,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d4\4af199a6-3942-4124-a47a-e099f9bee762.jpg,15,11,6,0.5769230769008876,0.7142857142517007,0.6382978718189225,0.677001349660564
C:\Users\T2510600\Downloads\BAOCR\raw\100_21_0.jpg,36,2,5,0.9473684210277009,0.8780487804663891,0.911392404540939,0.6768312967390527
C:\Users\T2510600\Downloads\BAOCR\raw\125_17_0.jpg,56,7,11,0.8888888888747796,0.8358208955099131,0.8615384610256804,0.7107619286979363
C:\Users\T2510600\Downloads\BAOCR\raw\127_15_0.jpg,64,7,20,0.9014084506915294,0.7619047618956916,0.8258064511057648,0.6886822437675488
C:\Users\T2510600\Downloads\BAOCR\raw\128_16_1.jpg,52,15,41,0.7761194029734907,0.5591397849402243,0.649999999505078,0.6792322592945482
C:\Users\T2510600\Downloads\BAOCR\raw\138_16_0.jpg,44,6,21,0.8799999999824001,0.6769230769126627,0.7652173907995463,0.6801461090782881
C:\Users\T2510600\Downloads\BAOCR\raw\142_17_1.jpg,56,5,7,0.9180327868701962,0.8888888888747796,0.9032258059371748,0.6588455008148281
C:\Users\T2510600\Downloads\BAOCR\raw\144_17_0.jpg,75,5,8,0.9374999999882813,0.9036144578204384,0.9202453982618842,0.6682400471300051
C:\Users\T2510600\Downloads\BAOCR\raw\14_22_0.jpg,80,13,11,0.8602150537541912,0.8791208791112184,0.8695652168819115,0.7174437083430231
C:\Users\T2510600\Downloads\BAOCR\raw\160_16_1.jpg,56,13,27,0.8115942028867884,0.674698795172594,0.7368421047577042,0.6730953913374275
C:\Users\T2510600\Downloads\BAOCR\raw\164_16_1.jpg,51,12,20,0.80952380951096,0.7183098591448125,0.7611940293411673,0.6440412222613378
C:\Users\T2510600\Downloads\BAOCR\raw\169_18_0.jpg,65,0,2,0.9999999999846153,0.9701492537168634,0.9848484843336777,0.6976309490828969
C:\Users\T2510600\Downloads\BAOCR\raw\173_15_1.jpg,75,2,4,0.9740259740133242,0.9493670885955776,0.9615384610262162,0.676788457397053
C:\Users\T2510600\Downloads\BAOCR\raw\184_15_0.jpg,54,7,4,0.8852459016248321,0.9310344827425684,0.9075630246951486,0.6769561997736416
C:\Users\T2510600\Downloads\BAOCR\raw\186_15_0.jpg,49,10,5,0.8305084745621948,0.9074074073906037,0.867256636653771,0.6661206783014411
C:\Users\T2510600\Downloads\BAOCR\raw\187_15_0.jpg,63,3,4,0.9545454545309917,0.9402985074486522,0.9473684205384136,0.6655551225252794
C:\Users\T2510600\Downloads\BAOCR\raw\1_20_0.jpg,82,9,22,0.9010989010889989,0.7884615384539571,0.8410256405192373,0.6626960933756281
C:\Users\T2510600\Downloads\BAOCR\raw\203_15_1.jpg,74,11,14,0.8705882352838754,0.8409090908995351,0.855491328970029,0.6541666060546875
C:\Users\T2510600\Downloads\BAOCR\raw\207_16_0.jpg,87,4,5,0.95604395603345,0.9456521739027646,0.950819671620771,0.6659591133392208
C:\Users\T2510600\Downloads\BAOCR\raw\208_14_1.jpg,97,1,2,0.9897959183572469,0.9797979797880828,0.9847715730940759,0.6565669800803161
C:\Users\T2510600\Downloads\BAOCR\raw\216_16_1.jpg,62,7,12,0.8985507246246587,0.8378378378265157,0.8671328666213507,0.6643838481448542
C:\Users\T2510600\Downloads\BAOCR\raw\221_15_1.jpg,64,7,8,0.9014084506915294,0.8888888888765432,0.8951048945924005,0.6274990972812897
C:\Users\T2510600\Downloads\BAOCR\raw\225_15_1.jpg,71,11,21,0.8658536585260261,0.7717391304263941,0.8160919535152595,0.6561399409809069
C:\Users\T2510600\Downloads\BAOCR\raw\236_16_1.jpg,65,1,2,0.9848484848335628,0.9701492537168634,0.9774436085078861,0.6989077360677057
C:\Users\T2510600\Downloads\BAOCR\raw\237_15_1.jpg,74,4,5,0.9487179487057856,0.9367088607476366,0.9426751587236804,0.6905059768060576
C:\Users\T2510600\Downloads\BAOCR\raw\258_27_0.jpg,58,1,4,0.9830508474409653,0.9354838709526535,0.9586776854348747,0.6693354537134181
C:\Users\T2510600\Downloads\BAOCR\raw\26_21_0.jpg,99,12,10,0.8918918918838568,0.9082568807256123,0.8999999994918595,0.701310597750612
C:\Users\T2510600\Downloads\BAOCR\raw\37_23_0.jpg,43,6,11,0.8775510203902541,0.7962962962815501,0.8349514557956452,0.6545399613632753
C:\Users\T2510600\Downloads\BAOCR\raw\38_21_0.jpg,60,13,32,0.8219178082079189,0.6521739130363894,0.7272727267705417,0.6942386331818459
C:\Users\T2510600\Downloads\BAOCR\raw\41_11_0.jpg,77,8,7,0.905882352930519,0.9166666666557539,0.9112426030395293,0.6712398710706352
C:\Users\T2510600\Downloads\BAOCR\raw\4_20_0.jpg,32,6,6,0.8421052631357342,0.8421052631357342,0.8421052626357342,0.6801198733241531
C:\Users\T2510600\Downloads\BAOCR\raw\5_22_0.jpg,47,5,9,0.9038461538287722,0.8392857142707271,0.8703703698549382,0.6315551638772597
C:\Users\T2510600\Downloads\BAOCR\raw\73_14_0.jpg,48,5,8,0.9056603773414027,0.8571428571275511,0.880733944438347,0.6832146401945559
C:\Users\T2510600\Downloads\BAOCR\raw\75_13_0.jpg,78,6,12,0.9285714285603741,0.866666666657037,0.8965517236282202,0.6920000431672086
C:\Users\T2510600\Downloads\BAOCR\raw\78_14_0.jpg,50,6,5,0.892857142841199,0.9090909090743802,0.9009009003847089,0.6987880093950264
C:\Users\T2510600\Downloads\BAOCR\raw\80_14_0.jpg,40,26,13,0.6060606060514233,0.7547169811178356,0.6722689070576936,0.7317218223569929
C:\Users\T2510600\Downloads\BAOCR\raw\83_14_0.jpg,73,5,18,0.9358974358854372,0.8021978021889868,0.8639053249365217,0.7036747862395027
C:\Users\T2510600\Downloads\BAOCR\raw\95_13_0.jpg,97,14,24,0.8738738738660011,0.8016528925553582,0.8362068960454444,0.6950491692521145
C:\Users\T2510600\Downloads\BAOCR\raw\98_21_1.jpg,40,0,10,0.9999999999750001,0.7999999999840001,0.8888888883753087,0.7253834885907176
