image_path,text,preprocess
words/original/IMG_20221226_0001_253-214-415-365.jpg,ছুটি,original
words/clahe/IMG_20221226_0001_253-214-415-365.jpg,ছুটি,clahe
words/highboost/IMG_20221226_0001_253-214-415-365.jpg,ছুটি,highboost
words/original/IMG_20221226_0001_434-203-593-365.jpg,এমন,original
words/clahe/IMG_20221226_0001_434-203-593-365.jpg,এমন,clahe
words/highboost/IMG_20221226_0001_434-203-593-365.jpg,এমন,highboost
words/original/IMG_20221226_0001_622-255-832-343.jpg,একটি,original
words/clahe/IMG_20221226_0001_622-255-832-343.jpg,একটি,clahe
words/highboost/IMG_20221226_0001_622-255-832-343.jpg,একটি,highboost
words/original/IMG_20221226_0001_855-233-1028-354.jpg,বিষয়,original
words/clahe/IMG_20221226_0001_855-233-1028-354.jpg,বিষয়,clahe
words/highboost/IMG_20221226_0001_855-233-1028-354.jpg,বিষয়,highboost
words/original/IMG_20221226_0001_1061-251-1213-351.jpg,যার,original
words/clahe/IMG_20221226_0001_1061-251-1213-351.jpg,যার,clahe
words/highboost/IMG_20221226_0001_1061-251-1213-351.jpg,যার,highboost
words/original/IMG_20221226_0001_1235-233-1390-362.jpg,নানা,original
words/clahe/IMG_20221226_0001_1235-233-1390-362.jpg,নানা,clahe
words/highboost/IMG_20221226_0001_1235-233-1390-362.jpg,নানা,highboost
words/original/IMG_20221226_0001_1419-225-1567-354.jpg,দিক,original
words/clahe/IMG_20221226_0001_1419-225-1567-354.jpg,দিক,clahe
words/highboost/IMG_20221226_0001_1419-225-1567-354.jpg,দিক,highboost
words/original/IMG_20221226_0001_1589-240-1770-362.jpg,আছে,original
words/clahe/IMG_20221226_0001_1589-240-1770-362.jpg,আছে,clahe
words/highboost/IMG_20221226_0001_1589-240-1770-362.jpg,আছে,highboost
words/original/IMG_20221226_0001_1799-221-1991-340.jpg,কেউ,original
words/clahe/IMG_20221226_0001_1799-221-1991-340.jpg,কেউ,clahe
words/highboost/IMG_20221226_0001_1799-221-1991-340.jpg,কেউ,highboost
words/original/IMG_20221226_0001_2013-218-2150-373.jpg,ছুটি,original
words/clahe/IMG_20221226_0001_2013-218-2150-373.jpg,ছুটি,clahe
words/highboost/IMG_20221226_0001_2013-218-2150-373.jpg,ছুটি,highboost
words/original/IMG_20221226_0001_275-380-533-469.jpg,কাটাতে,original
words/clahe/IMG_20221226_0001_275-380-533-469.jpg,কাটাতে,clahe
words/highboost/IMG_20221226_0001_275-380-533-469.jpg,কাটাতে,highboost
words/original/IMG_20221226_0001_548-373-655-450.jpg,চান,original
words/clahe/IMG_20221226_0001_548-373-655-450.jpg,চান,clahe
words/highboost/IMG_20221226_0001_548-373-655-450.jpg,চান,highboost
words/original/IMG_20221226_0001_692-365-836-454.jpg,একা,original
words/clahe/IMG_20221226_0001_692-365-836-454.jpg,একা,clahe
words/highboost/IMG_20221226_0001_692-365-836-454.jpg,একা,highboost
words/original/IMG_20221226_0001_866-358-1039-469.jpg,কেউ,original
words/clahe/IMG_20221226_0001_866-358-1039-469.jpg,কেউ,clahe
words/highboost/IMG_20221226_0001_866-358-1039-469.jpg,কেউ,highboost
words/original/IMG_20221226_0001_1050-380-1220-450.jpg,আবার,original
words/clahe/IMG_20221226_0001_1050-380-1220-450.jpg,আবার,clahe
words/highboost/IMG_20221226_0001_1050-380-1220-450.jpg,আবার,highboost
words/original/IMG_20221226_0001_1242-369-1482-465.jpg,দলবল,original
words/clahe/IMG_20221226_0001_1242-369-1482-465.jpg,দলবল,clahe
words/highboost/IMG_20221226_0001_1242-369-1482-465.jpg,দলবল,highboost
words/original/IMG_20221226_0001_1519-362-1648-458.jpg,নিয়ে,original
words/clahe/IMG_20221226_0001_1519-362-1648-458.jpg,নিয়ে,clahe
words/highboost/IMG_20221226_0001_1519-362-1648-458.jpg,নিয়ে,highboost
words/original/IMG_20221226_0001_1722-380-1929-480.jpg,আবার,original
words/clahe/IMG_20221226_0001_1722-380-1929-480.jpg,আবার,clahe
words/highboost/IMG_20221226_0001_1722-380-1929-480.jpg,আবার,highboost
words/original/IMG_20221226_0001_1947-391-2205-476.jpg,দলবলের,original
words/clahe/IMG_20221226_0001_1947-391-2205-476.jpg,দলবলের,clahe
words/highboost/IMG_20221226_0001_1947-391-2205-476.jpg,দলবলের,highboost
words/original/IMG_20221226_0001_290-472-467-568.jpg,মধ্যে,original
words/clahe/IMG_20221226_0001_290-472-467-568.jpg,মধ্যে,clahe
words/highboost/IMG_20221226_0001_290-472-467-568.jpg,মধ্যে,highboost
words/original/IMG_20221226_0001_489-476-633-576.jpg,পড়তে,original
words/clahe/IMG_20221226_0001_489-476-633-576.jpg,পড়তে,clahe
words/highboost/IMG_20221226_0001_489-476-633-576.jpg,পড়তে,highboost
words/original/IMG_20221226_0001_663-491-821-572.jpg,পারে,original
words/clahe/IMG_20221226_0001_663-491-821-572.jpg,পারে,clahe
words/highboost/IMG_20221226_0001_663-491-821-572.jpg,পারে,highboost
words/original/IMG_20221226_0001_855-483-1131-590.jpg,পরিবারের,original
words/clahe/IMG_20221226_0001_855-483-1131-590.jpg,পরিবারের,clahe
words/highboost/IMG_20221226_0001_855-483-1131-590.jpg,পরিবারের,highboost
words/original/IMG_20221226_0001_1168-483-1427-590.jpg,লোকজন,original
words/clahe/IMG_20221226_0001_1168-483-1427-590.jpg,লোকজন,clahe
