img_path,tp,fp,fn,precision,recall,f1,avg_iou
C:\Users\T2510600\Downloads\BAOCR\d1\4a0a74fb-39ff-4eff-a3be-c3646ec0e9d3.jpg,14,1,1,0.9333333332711111,0.9333333332711111,0.9333333327711111,0.7056300753467363
C:\Users\T2510600\Downloads\BAOCR\d1\4f5f8c94-d031-49d0-a481-106e492277d2.jpg,23,2,1,0.9199999999632,0.9583333332934028,0.9387755096659725,0.6564980395239839
C:\Users\T2510600\Downloads\BAOCR\d1\5f94abc9-b0eb-455f-8f7b-a33c9913a049.jpg,18,7,9,0.7199999999712,0.6666666666419753,0.6923076917818047,0.6634480040860675
C:\Users\T2510600\Downloads\BAOCR\d1\22e941ed-a255-48a6-97fe-6457a023e137.jpg,14,0,0,0.9999999999285715,0.9999999999285715,0.9999999994285715,0.7065042272353667
C:\Users\T2510600\Downloads\BAOCR\d1\069fb245-4099-46c5-bc52-a263ccd209ee.jpg,28,3,1,0.9032258064224766,0.9655172413460167,0.9333333328027777,0.6666781214531994
C:\Users\T2510600\Downloads\BAOCR\d1\8018e8b8-2f0c-4d29-9e40-f0b10d84451e.jpg,11,2,5,0.8461538460887574,0.6874999999570313,0.7586206891082046,0.6782058576772348
C:\Users\T2510600\Downloads\BAOCR\d1\156478b2-6eb3-4982-92c3-bee5730da2e9.jpg,36,3,0,0.9230769230532545,0.9999999999722223,0.9599999994752,0.7239318986754258
C:\Users\T2510600\Downloads\BAOCR\d1\20965061-8d7f-4195-994e-9b4bd5d2d778.jpg,63,7,10,0.8999999999871429,0.8630136986183148,0.8811188806067778,0.6839507174816659
C:\Users\T2510600\Downloads\BAOCR\d1\75975500-56eb-4f3b-92b0-930abeb3565d.jpg,1,2,15,0.3333333332222222,0.06249999999609375,0.10526315761772853,0.5186287333500178
C:\Users\T2510600\Downloads\BAOCR\d1\af7b7455-8a29-4d84-875c-63a27d3cd7dd.jpg,3,5,40,0.374999999953125,0.06976744185884262,0.11764705855440216,0.6207596643720478
C:\Users\T2510600\Downloads\BAOCR\d1\e260b5f6-2054-4353-acb0-93df90a77f13.jpg,35,4,2,0.8974358974128863,0.94594594592038,0.9210526310550554,0.6888488114276579
C:\Users\T2510600\Downloads\BAOCR\d1\f5160769-3e1c-446f-ac23-84acad4b9bbc.jpg,30,5,3,0.8571428571183675,0.909090909063361,0.8823529406509516,0.6830756931345803
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-8.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-13.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-19.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-21.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-23.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-24.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-26.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-32.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-44.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d3\IMG_20221226_0002.jpg,3,8,119,0.2727272727024793,0.02459016393422467,0.04511278180247611,0.6021776992153868
