img_path,tp,fp,fn,precision,recall,f1,avg_iou
C:\Users\T2510600\Downloads\BAOCR\d1\4a0a74fb-39ff-4eff-a3be-c3646ec0e9d3.jpg,11,4,4,0.7333333332844444,0.7333333332844444,0.7333333327844445,0.5939324566024561
C:\Users\T2510600\Downloads\BAOCR\d1\4f5f8c94-d031-49d0-a481-106e492277d2.jpg,12,12,12,0.49999999997916666,0.49999999997916666,0.4999999994791666,0.5859594856336671
C:\Users\T2510600\Downloads\BAOCR\d1\5f94abc9-b0eb-455f-8f7b-a33c9913a049.jpg,11,14,16,0.4399999999824,0.40740740739231823,0.42307692256139057,0.5662467716341943
C:\Users\T2510600\Downloads\BAOCR\d1\22e941ed-a255-48a6-97fe-6457a023e137.jpg,10,4,4,0.7142857142346939,0.7142857142346939,0.7142857137346939,0.6083232639775142
C:\Users\T2510600\Downloads\BAOCR\d1\069fb245-4099-46c5-bc52-a263ccd209ee.jpg,18,12,11,0.59999999998,0.6206896551510107,0.6101694910048836,0.600829695444785
C:\Users\T2510600\Downloads\BAOCR\d1\8018e8b8-2f0c-4d29-9e40-f0b10d84451e.jpg,11,5,5,0.6874999999570313,0.6874999999570313,0.6874999994570312,0.5950631219313184
C:\Users\T2510600\Downloads\BAOCR\d1\156478b2-6eb3-4982-92c3-bee5730da2e9.jpg,33,5,3,0.8684210526087258,0.9166666666412038,0.8918918913681518,0.6029563066558826
C:\Users\T2510600\Downloads\BAOCR\d1\20965061-8d7f-4195-994e-9b4bd5d2d778.jpg,52,21,21,0.7123287671135297,0.7123287671135297,0.7123287666135297,0.6079179408010974
C:\Users\T2510600\Downloads\BAOCR\d1\75975500-56eb-4f3b-92b0-930abeb3565d.jpg,0,2,16,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d1\af7b7455-8a29-4d84-875c-63a27d3cd7dd.jpg,11,19,32,0.3666666666544444,0.255813953482423,0.3013698625212986,0.6696127414450037
C:\Users\T2510600\Downloads\BAOCR\d1\e260b5f6-2054-4353-acb0-93df90a77f13.jpg,28,12,9,0.6999999999825001,0.7567567567363039,0.7272727267545961,0.6115237367277391
C:\Users\T2510600\Downloads\BAOCR\d1\f5160769-3e1c-446f-ac23-84acad4b9bbc.jpg,22,13,11,0.6285714285534695,0.6666666666464647,0.6470588230108132,0.5622819843849715
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-8.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-13.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-19.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-21.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-23.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-24.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-26.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-32.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-44.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d3\IMG_20221226_0002.jpg,21,48,101,0.3043478260825457,0.1721311475395727,0.21989528749431209,0.6006914656817778
C:\Users\T2510600\Downloads\BAOCR\d3\IMG_20221226_0010a.jpg,6,23,86,0.20689655171700358,0.06521739130363893,0.09917355335291304,0.5985571995099579
C:\Users\T2510600\Downloads\BAOCR\d3\IMG_20221226_0016.jpg,8,20,176,0.28571428570408164,0.043478260869328926,0.07547169788323246,0.583837994448382
C:\Users\T2510600\Downloads\BAOCR\d3\IMG_20221226_0018.jpg,6,8,156,0.4285714285408163,0.03703703703680841,0.06818181803460743,0.5905612166804967
C:\Users\T2510600\Downloads\BAOCR\d4\fae11124-2958-46ed-ae7f-638e92d2fd97.jpg,4,32,26,0.1111111111080247,0.1333333333288889,0.12121212071258033,0.5969112786869695
