image_path,text,preprocess
words/original/02203d49-3007-4cd1-98c0-84ad357b1e50_82-72-304-122.jpg,,original
words/clahe/02203d49-3007-4cd1-98c0-84ad357b1e50_82-72-304-122.jpg,,clahe
words/highboost/02203d49-3007-4cd1-98c0-84ad357b1e50_82-72-304-122.jpg,,highboost
words/original/02203d49-3007-4cd1-98c0-84ad357b1e50_336-78-495-120.jpg,,original
words/clahe/02203d49-3007-4cd1-98c0-84ad357b1e50_336-78-495-120.jpg,,clahe
words/highboost/02203d49-3007-4cd1-98c0-84ad357b1e50_336-78-495-120.jpg,,highboost
words/original/02203d49-3007-4cd1-98c0-84ad357b1e50_531-52-750-128.jpg,,original
words/clahe/02203d49-3007-4cd1-98c0-84ad357b1e50_531-52-750-128.jpg,,clahe
words/highboost/02203d49-3007-4cd1-98c0-84ad357b1e50_531-52-750-128.jpg,,highboost
words/original/02203d49-3007-4cd1-98c0-84ad357b1e50_776-51-957-126.jpg,,original
words/clahe/02203d49-3007-4cd1-98c0-84ad357b1e50_776-51-957-126.jpg,,clahe
words/highboost/02203d49-3007-4cd1-98c0-84ad357b1e50_776-51-957-126.jpg,,highboost
words/original/02203d49-3007-4cd1-98c0-84ad357b1e50_1042-47-1199-120.jpg,,original
words/clahe/02203d49-3007-4cd1-98c0-84ad357b1e50_1042-47-1199-120.jpg,,clahe
words/highboost/02203d49-3007-4cd1-98c0-84ad357b1e50_1042-47-1199-120.jpg,,highboost
words/original/02203d49-3007-4cd1-98c0-84ad357b1e50_107-128-271-202.jpg,,original
words/clahe/02203d49-3007-4cd1-98c0-84ad357b1e50_107-128-271-202.jpg,,clahe
words/highboost/02203d49-3007-4cd1-98c0-84ad357b1e50_107-128-271-202.jpg,,highboost
words/original/02203d49-3007-4cd1-98c0-84ad357b1e50_366-133-551-195.jpg,,original
words/clahe/02203d49-3007-4cd1-98c0-84ad357b1e50_366-133-551-195.jpg,,clahe
words/highboost/02203d49-3007-4cd1-98c0-84ad357b1e50_366-133-551-195.jpg,,highboost
words/original/02203d49-3007-4cd1-98c0-84ad357b1e50_581-143-889-202.jpg,,original
words/clahe/02203d49-3007-4cd1-98c0-84ad357b1e50_581-143-889-202.jpg,,clahe
words/highboost/02203d49-3007-4cd1-98c0-84ad357b1e50_581-143-889-202.jpg,,highboost
words/original/02203d49-3007-4cd1-98c0-84ad357b1e50_931-134-1148-200.jpg,,original
