img_path,tp,fp,fn,precision,recall,f1,avg_iou
C:\Users\T2510600\Downloads\BAOCR\d1\4a0a74fb-39ff-4eff-a3be-c3646ec0e9d3.jpg,14,1,1,0.9333333332711111,0.9333333332711111,0.9333333327711111,0.6792728881164588
C:\Users\T2510600\Downloads\BAOCR\d1\4f5f8c94-d031-49d0-a481-106e492277d2.jpg,21,3,3,0.8749999999635417,0.8749999999635417,0.8749999994635417,0.6455077985822457
C:\Users\T2510600\Downloads\BAOCR\d1\5f94abc9-b0eb-455f-8f7b-a33c9913a049.jpg,18,7,9,0.7199999999712,0.6666666666419753,0.6923076917818047,0.632954317391241
C:\Users\T2510600\Downloads\BAOCR\d1\22e941ed-a255-48a6-97fe-6457a023e137.jpg,14,0,0,0.9999999999285715,0.9999999999285715,0.9999999994285715,0.6784640139385755
C:\Users\T2510600\Downloads\BAOCR\d1\069fb245-4099-46c5-bc52-a263ccd209ee.jpg,26,4,3,0.8666666666377778,0.8965517241070154,0.881355931673657,0.6573326240074724
C:\Users\T2510600\Downloads\BAOCR\d1\8018e8b8-2f0c-4d29-9e40-f0b10d84451e.jpg,12,2,4,0.8571428570816326,0.749999999953125,0.7999999994488889,0.6583897665946631
C:\Users\T2510600\Downloads\BAOCR\d1\156478b2-6eb3-4982-92c3-bee5730da2e9.jpg,36,3,0,0.9230769230532545,0.9999999999722223,0.9599999994752,0.6979013570102137
C:\Users\T2510600\Downloads\BAOCR\d1\20965061-8d7f-4195-994e-9b4bd5d2d778.jpg,62,11,11,0.8493150684815162,0.8493150684815162,0.8493150679815161,0.6747678737584558
C:\Users\T2510600\Downloads\BAOCR\d1\75975500-56eb-4f3b-92b0-930abeb3565d.jpg,0,3,16,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d1\af7b7455-8a29-4d84-875c-63a27d3cd7dd.jpg,4,6,39,0.39999999996,0.09302325581179016,0.15094339591456032,0.6374533608644698
C:\Users\T2510600\Downloads\BAOCR\d1\e260b5f6-2054-4353-acb0-93df90a77f13.jpg,34,6,3,0.8499999999787501,0.9189189188940834,0.883116882594704,0.6773982956149361
C:\Users\T2510600\Downloads\BAOCR\d1\f5160769-3e1c-446f-ac23-84acad4b9bbc.jpg,29,6,4,0.8285714285477552,0.878787878761249,0.8529411759459343,0.6633149895741431
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-8.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-13.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-19.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-21.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-23.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-24.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-26.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-32.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d2\Unknown-44.jpeg,0,0,0,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d3\IMG_20221226_0002.jpg,5,13,117,0.2777777777623457,0.04098360655704111,0.07142857120346938,0.6404809855455044
C:\Users\T2510600\Downloads\BAOCR\d3\IMG_20221226_0010a.jpg,3,2,89,0.59999999988,0.032608695651819466,0.06185567000403868,0.6224395422265654
C:\Users\T2510600\Downloads\BAOCR\d3\IMG_20221226_0016.jpg,5,1,179,0.8333333331944445,0.02717391304333058,0.052631578885650974,0.6392477738348962
C:\Users\T2510600\Downloads\BAOCR\d3\IMG_20221226_0018.jpg,1,2,161,0.3333333332222222,0.006172839506134736,0.012121212085362718,0.6964410427578277
C:\Users\T2510600\Downloads\BAOCR\d4\fae11124-2958-46ed-ae7f-638e92d2fd97.jpg,26,8,4,0.7647058823304499,0.8666666666377778,0.8124999994765625,0.6614747943353231
C:\Users\T2510600\Downloads\BAOCR\d4\f5cf6ad3-6868-4857-aedd-1a4529969146.jpg,0,8,23,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d4\e53e2535-bbbd-4851-a154-a27b95f07762.jpg,0,0,25,0.0,0.0,0.0,0.0
C:\Users\T2510600\Downloads\BAOCR\d4\d78c9e5b-2b8c-4abf-8c83-0e2c089e8ff9.jpg,1,7,29,0.124999999984375,0.03333333333222222,0.05263157861218837,0.6215307947124379
C:\Users\T2510600\Downloads\BAOCR\d4\4af199a6-3942-4124-a47a-e099f9bee762.jpg,17,9,4,0.6538461538210059,0.8095238094852608,0.7234042547940245,0.6694664613004305
C:\Users\T2510600\Downloads\BAOCR\raw\100_21_0.jpg,36,4,5,0.8999999999775001,0.8780487804663891,0.8888888883670173,0.695964351651516
C:\Users\T2510600\Downloads\BAOCR\raw\125_17_0.jpg,56,7,11,0.8888888888747796,0.8358208955099131,0.8615384610256804,0.7276637613008747
C:\Users\T2510600\Downloads\BAOCR\raw\127_15_0.jpg,56,9,28,0.8615384615252071,0.6666666666587301,0.751677851847034,0.7052517909322488
C:\Users\T2510600\Downloads\BAOCR\raw\128_16_1.jpg,48,16,45,0.7499999999882813,0.5161290322525147,0.6114649676621363,0.700402715888807
C:\Users\T2510600\Downloads\BAOCR\raw\138_16_0.jpg,44,7,21,0.8627450980222992,0.6769230769126627,0.7586206891493757,0.6991091039287942
