image_path,text,preprocess
words/original/025cd023-7dfb-49b5-98d0-445c6aed24ea_200-88-425-105.jpg,আকাশে,original
words/clahe/025cd023-7dfb-49b5-98d0-445c6aed24ea_200-88-425-105.jpg,আকাশে,clahe
words/highboost/025cd023-7dfb-49b5-98d0-445c6aed24ea_200-88-425-105.jpg,আকাশে,highboost
words/original/025cd023-7dfb-49b5-98d0-445c6aed24ea_441-88-560-102.jpg,আজ,original
words/clahe/025cd023-7dfb-49b5-98d0-445c6aed24ea_441-88-560-102.jpg,আজ,clahe
words/highboost/025cd023-7dfb-49b5-98d0-445c6aed24ea_441-88-560-102.jpg,আজ,highboost
words/original/025cd023-7dfb-49b5-98d0-445c6aed24ea_569-88-688-104.jpg,মেঘ,original
words/clahe/025cd023-7dfb-49b5-98d0-445c6aed24ea_569-88-688-104.jpg,মেঘ,clahe
words/highboost/025cd023-7dfb-49b5-98d0-445c6aed24ea_569-88-688-104.jpg,মেঘ,highboost
words/original/025cd023-7dfb-49b5-98d0-445c6aed24ea_695-87-906-103.jpg,জমেছে,original
words/clahe/025cd023-7dfb-49b5-98d0-445c6aed24ea_695-87-906-103.jpg,জমেছে,clahe
words/highboost/025cd023-7dfb-49b5-98d0-445c6aed24ea_695-87-906-103.jpg,জমেছে,highboost
words/original/025cd023-7dfb-49b5-98d0-445c6aed24ea_225-112-353-131.jpg,বৃষ্টি,original
words/clahe/025cd023-7dfb-49b5-98d0-445c6aed24ea_225-112-353-131.jpg,বৃষ্টি,clahe
words/highboost/025cd023-7dfb-49b5-98d0-445c6aed24ea_225-112-353-131.jpg,বৃষ্টি,highboost
words/original/025cd023-7dfb-49b5-98d0-445c6aed24ea_364-113-519-129.jpg,নামার,original
words/clahe/025cd023-7dfb-49b5-98d0-445c6aed24ea_364-113-519-129.jpg,নামার,clahe
words/highboost/025cd023-7dfb-49b5-98d0-445c6aed24ea_364-113-519-129.jpg,নামার,highboost
words/original/025cd023-7dfb-49b5-98d0-445c6aed24ea_524-112-758-127.jpg,অপেক্ষায়,original
words/clahe/025cd023-7dfb-49b5-98d0-445c6aed24ea_524-112-758-127.jpg,অপেক্ষায়,clahe
words/highboost/025cd023-7dfb-49b5-98d0-445c6aed24ea_524-112-758-127.jpg,অপেক্ষায়,highboost
words/original/025cd023-7dfb-49b5-98d0-445c6aed24ea_220-140-420-154.jpg,হাওয়ায়,original
words/clahe/025cd023-7dfb-49b5-98d0-445c6aed24ea_220-140-420-154.jpg,হাওয়ায়,clahe
words/highboost/025cd023-7dfb-49b5-98d0-445c6aed24ea_220-140-420-154.jpg,হাওয়ায়,highboost
words/original/025cd023-7dfb-49b5-98d0-445c6aed24ea_429-138-576-153.jpg,ভেসে,original
