crop_path,word_text,char_indices,word_length,language
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word1.jpg,আজকাল,4 26 19 56 48,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word2.jpg, এগুলোর,2 13 21 59 48 69 46,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word3.jpg,বিক্রি,42 57 19 71 46 57,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word4.jpg,ভালো,43 56 48 69,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word5.jpg,সস্তায়,54 54 71 34 56 45 2,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word6.jpg,ঘরের,22 46 65 46,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word7.jpg,দেয়াল,36 65 45 2 56 48,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word8.jpg,সাজাবার,54 56 26 56 42 56 46,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word9.jpg,জন্যে,26 38 71 45 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word10.jpg,অনেকেই,3 38 65 19 65 5,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word11.jpg,কেনে,19 65 38 65,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word12.jpg,একেকটা,13 19 65 19 29 56,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word13.jpg,চিত্রের,24 57 34 71 46 65 46,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word14.jpg,জন্যে,26 38 71 45 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word15.jpg,কাঠের,19 56 30 65 46,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word16.jpg,ওপর,17 40 46,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word17.jpg,খোদাই,20 69 36 56 5,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word18.jpg,করা,19 46 56,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word19.jpg,নকশা,38 19 52 56,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word20.jpg,আছে,4 25 65,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word21.jpg,তার,34 56 46,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word22.jpg,ওপর,17 40 46,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word23.jpg,কাদার,19 56 36 56 46,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word24.jpg,তাল,34 56 48,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word25.jpg,টিপে,29 57 40 65,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word26.jpg,টিপে,29 57 40 65,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word27.jpg,পাটা,40 56 29 56,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word28.jpg,তৈরি,34 66 46 57,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word29.jpg,করছে,19 46 25 65,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\fae11124-2958-46ed-ae7f-638e92d2fd97_word30.jpg,ওরা,17 46 56,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word1.jpg,হযরত,55 45 46 34,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word2.jpg,মুহাম্মদ,44 59 55 56 44 71 44 36,8,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word3.jpg,(সঃ),156 54 74 157,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word4.jpg,পৃথিবীর,40 61 35 57 42 58 46,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word5.jpg,শ্রেষ্ঠ,52 71 46 65 53 71 30,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word6.jpg,মানব,44 56 38 42,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word7.jpg,তিনিই,34 57 38 57 5,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word8.jpg,আমাদের,4 44 56 36 65 46,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word9.jpg,একমাত্র,13 19 44 56 34 71 46,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word10.jpg,রাসূল,46 56 54 60 48,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word11.jpg,ও,17,1,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word12.jpg,নেতা,38 65 34 56,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word13.jpg,তার,34 56 46,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word14.jpg,অনুসরন,3 38 59 54 46 38,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word15.jpg,করা,19 46 56,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word16.jpg,আমাদের,4 44 56 36 65 46,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word17.jpg,জন্য,26 38 71 45,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word18.jpg, আবশ্যক,2 4 42 52 71 45 19,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f4581340-7677-4f67-8b56-29607fe48d96_word19.jpg,কর্মকান্ড,19 46 71 44 19 56 38 71 31,9,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word1.jpg,সাকিব,54 56 19 57 42,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word2.jpg,বিশ্বসেরা,42 57 52 71 42 54 65 46 56,9,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word3.jpg, অলরাউন্ডার,2 3 48 46 56 7 38 71 31 56 46,11,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word4.jpg,কিন্তু,19 57 38 71 34 59,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word5.jpg,এখন,13 20 38,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word6.jpg, সে,2 54 65,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word7.jpg, আর,2 4 46,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word8.jpg,খেলতে,20 65 48 34 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word9.jpg,পারছেনা,40 56 46 25 65 38 56,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word10.jpg,তার,34 56 46,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word11.jpg,জন্য,26 38 71 45,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word12.jpg,মন,44 38,2,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word13.jpg, খুবই,2 20 59 42 5,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word14.jpg,খারাপ,20 56 46 56 40,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word15.jpg, হয়,2 55 45 2,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word16.jpg, আশা,2 4 52 56,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word17.jpg,করি,19 46 57,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word18.jpg,তাকে,34 56 19 65,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word19.jpg, আবারও,2 4 42 56 46 17,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word20.jpg,মাঠে,44 56 30 65,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f9f37d13-9613-4258-bc01-d0ab1de055d1_word21.jpg,দেখব,36 65 20 42,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word1.jpg,সকালে,54 19 56 48 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word2.jpg,হেঁটে,55 65 72 29 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word3.jpg,পারব,40 56 46 42,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word4.jpg,না,38 56,2,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word5.jpg,বলে,42 48 65,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word6.jpg,যাইনি,45 56 5 38 57,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word7.jpg,দুটোর,36 59 29 69 46,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word8.jpg,পর,40 46,2,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word9.jpg,রিকশা,46 57 19 52 56,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word10.jpg,চলছে,24 48 25 65,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word11.jpg,সাড়ে,54 56 31 2 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word12.jpg,চারটেয়,24 56 46 29 65 45 2,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word13.jpg,বাবাকে,42 56 42 56 19 65,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word14.jpg,চা-নাশতা,24 56 153 38 56 52 34 56,8,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word15.jpg,খাইয়ে,20 56 5 45 2 65,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word16.jpg,তাঁর,34 56 72 46,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word17.jpg,সঙ্গে,54 23 71 21 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word18.jpg,খানিক,20 56 38 57 19,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word19.jpg,কথা,19 35 56,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word20.jpg,বলে,42 48 65,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word21.jpg,বারেককে,42 56 46 65 19 19 65,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word22.jpg,কাজ,19 56 26,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\f5cf6ad3-6868-4857-aedd-1a4529969146_word23.jpg,দিলাম,36 57 48 56 44,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word1.jpg,সবচেয়ে,54 42 24 65 45 2 65,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word2.jpg,যে,45 65,2,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word3.jpg,ছোটো,25 69 29 69,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word4.jpg,পিড়িঁখানি,40 57 31 2 57 72 20 56 38 57,10,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word5.jpg,সেইখানি,54 65 5 20 56 38 57,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word6.jpg, আর,2 4 46,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word7.jpg,কেউ,19 65 7,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word8.jpg,রাখে,46 56 20 65,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word9.jpg,না,38 56,2,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word10.jpg,"পেতে,",40 65 34 65 148,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word11.jpg,ছোটো,25 69 29 69,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word12.jpg,থালায়,35 56 48 56 45 2,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word13.jpg,হয়নাকো,55 45 2 38 56 19 69,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word14.jpg,ভাত,43 56 34,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word15.jpg,"বাড়া,",42 56 31 2 56 148,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word16.jpg,জল,26 48,2,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word17.jpg,ভরে,43 46 65,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word18.jpg,না,38 56,2,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word19.jpg,ছোট্ট,25 69 29 71 29,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word20.jpg,"গেলাসেতে,",21 65 48 56 54 65 34 65 148,9,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word21.jpg,বাড়ির,42 56 31 2 57 46,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word22.jpg,মধ্যে,44 37 71 45 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word23.jpg,সবচেয়ে,54 42 24 65 45 2 65,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word24.jpg,যে,45 65,2,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d4\crops\efaeb895-61f6-4423-aeb3-b270a410688b_word25.jpg,ছোটো,25 69 29 69,4,bengali
